SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HIB,PCT_EXEMPT_HIB,PCT_COMPLIANCE_HIB,PCT_IMMUNE_HEPA,PCT_EXEMPT_HEPA,PCT_COMPLIANCE_HEPA,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
BEI BEI AMIGOS LANGUAGE PRESCHOOL L L C,N/A,751 EAST UNION HILLS DRIVE SUITE #19,PHOENIX,Maricopa,85024,N/A,,51,74.5,-,N/A,82.4,-,N/A,90.2,-,N/A,90.2,-,N/A,60.8,-,N/A,76.5,-,N/A,86.3,-,N/A,11.8,0,N/A
BEL ESPIRIT DAY SCHOOL AT PALM VALLEY,N/A,1375 NORTH LITCHFIELD ROAD STE 104,GOODYEAR,Maricopa,85395,N/A,,37,78.4,-,N/A,89.2,-,N/A,100,-,N/A,91.9,-,N/A,73,-,N/A,89.2,-,N/A,100,-,N/A,0,0,N/A
BELLA MONTESSORI,N/A,700 SOUTH ISLANDS DRIVE,GILBERT,Maricopa,85233,N/A,,34,82.4,-,N/A,79.4,-,N/A,79.4,-,N/A,79.4,-,N/A,76.5,-,N/A,73.5,-,N/A,79.4,-,N/A,14.7,5.9,N/A
BELLAIR ELEM PRESCHOOL,N/A,4701 WEST GROVERS AVENUE,GLENDALE,Maricopa,85308,N/A,,22,90.9,-,N/A,95.5,-,N/A,95.5,-,N/A,95.5,-,N/A,90.9,-,N/A,95.5,-,N/A,90.9,-,N/A,0,4.5,N/A
BENCHMARK SCHOOL,N/A,4120 EAST ACOMA DRIVE,PHOENIX,Maricopa,85032,N/A,,46,89.1,-,N/A,87,-,N/A,91.3,-,N/A,89.1,-,N/A,73.9,-,N/A,73.9,-,N/A,82.6,-,N/A,6.5,4.3,N/A
BEST FRIENDS PRESCHOOL INC,N/A,2038 SOUTH DON CARLOS,MESA,Maricopa,85202,N/A,,49,95.9,-,N/A,95.9,-,N/A,95.9,-,N/A,95.9,-,N/A,91.8,-,N/A,93.9,-,N/A,95.9,-,N/A,4.1,0,N/A
BEST PALS NEIGHBORHOOD PRESCHOOL,N/A,30845 NORTH CAVE CREEK ROAD #117,CAVE CREEK,Maricopa,85331,N/A,,65,90.8,-,N/A,93.8,-,N/A,92.3,-,N/A,89.2,-,N/A,90.8,-,N/A,87.7,-,N/A,92.3,-,N/A,9.2,0,N/A
BETH EL CENTER FOR EARLY CHILDHOOD EDUCATION,N/A,1118 WEST GLENDALE AVENUE,PHOENIX,Maricopa,85021,N/A,,32,84.4,-,N/A,90.6,-,N/A,93.8,-,N/A,96.9,-,N/A,65.6,-,N/A,90.6,-,N/A,90.6,-,N/A,3.1,0,N/A
BEYOND CARE INC.,N/A,1601 EAST BELL ROAD A19,PHOENIX,Maricopa,85022,N/A,,33,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,90.9,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
BICENTENNIAL SOUTH COMMUNITY ED,N/A,7240 WEST COLTER STREET,GLENDALE,Maricopa,85303,N/A,,50,98,-,N/A,98,-,N/A,100,-,N/A,98,-,N/A,90,-,N/A,98,-,N/A,100,-,N/A,2,0,N/A
BLACK MOUNTAIN ELEM CHILD'S PLAY,N/A,P O BOX 426,CAVE CREEK,Maricopa,85327,N/A,,22,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
"BLACK MOUNTAIN SCIENCE ACADEMY, INC",N/A,"21461 N 78TH AVE, SUITE 185",PEORIA,Maricopa,85382,N/A,,52,94.2,-,N/A,92.3,-,N/A,96.2,-,N/A,96.2,-,N/A,92.3,-,N/A,94.2,-,N/A,96.2,-,N/A,3.8,0,N/A
BLESSED SACRAMENT PRESCHOOL / KINDERGARTEN,N/A,11300 NORTH 64TH STREET,SCOTTSDALE,Maricopa,85254,N/A,,30,83.3,-,N/A,83.3,-,N/A,83.3,-,N/A,90,-,N/A,70,-,N/A,76.7,-,N/A,73.3,-,N/A,10,0,N/A
BOLOGNA ELEM PRESCHOOL,N/A,1625 W FRYE RD,CHANDLER,Maricopa,85224,N/A,,23,95.7,-,N/A,95.7,-,N/A,95.7,-,N/A,95.7,-,N/A,95.7,-,N/A,95.7,-,N/A,95.7,-,N/A,4.3,0,N/A
BOOKER T. WASHINGTON HEADSTART AGENCY,N/A,1519 E. ADAMS ,Phoenix,Maricopa,85034,N/A,,182,98.4,-,N/A,98.9,-,N/A,98.9,-,N/A,97.3,-,N/A,98.4,-,N/A,98.9,-,N/A,98.9,-,N/A,0,0,N/A
BOULDER CREEK ELEMENTARY PRESCHOOL,N/A,140 S GILBERT RD,GILBERT,Maricopa,85234,N/A,,39,97.4,-,N/A,94.9,-,N/A,100,-,N/A,94.9,-,N/A,94.9,-,N/A,92.3,-,N/A,100,-,N/A,2.6,0,N/A
BRET TARVER,N/A,3101 WEST MCDOWELL ROAD,PHOENIX,Maricopa,85009,N/A,,224,95.5,-,N/A,98.7,-,N/A,97.8,-,N/A,96.9,-,N/A,94.6,-,N/A,98.7,-,N/A,97.8,-,N/A,0.4,0.4,N/A
