Zip,Total 2011,Margin 2011,Total 2012,Margin 2012,Total 2013,Margin 2013,Total 2014,Margin 2014,Total 2015,Margin 2015,Total 2016,Margin 2016
86336,50285,4998,50067,4404,46775,5993,49796,3197,55114,4222,56294,3381
86337,33009,5587,33426,6694,37621,8236,32554,15169,34318,9846,30139,7259
86338,29375,13203,38264,17622,38264,13768,38264,11437,34583,22402,50357,16598
86343,36667,33950,36250,28480,38125,12142,38500,12350,37143,15880,-666666666,-222222222
86351,58765,11038,62038,6086,60118,16156,58443,12356,59120,8177,51797,5441
86401,49267,2745,45812,3405,45971,5015,43692,3312,44755,4245,45036,4231
86403,39444,3394,40172,4548,39751,2955,37807,3303,37267,5144,40935,3832
86404,44828,3785,41544,3545,41511,2512,41050,2397,40642,2055,41723,2112
86406,46176,4089,43797,2960,43753,1977,44981,2615,47077,4588,48580,2376
86409,35423,2176,32950,2571,32952,2718,31237,2851,32957,2768,34306,2364
86411,37500,65806,36250,32543,37813,11066,45735,12772,35500,9422,40227,7217
86413,36319,5124,34928,4845,34680,4578,33662,2577,33591,2436,32201,2491
86426,44268,4454,44163,3959,42562,3145,41600,3264,42775,2895,44511,3468
86429,40427,6451,42261,6484,39357,7110,41176,6623,43086,6366,46167,6401
86431,21250,16539,17917,12318,14976,6546,16484,7834,20560,3858,20905,4870
86432,32031,8390,34050,16018,36568,14052,35548,6038,37412,20030,46197,9046
86433,23750,55456,23462,26065,4811,40277,4560,35954,,,-666666666,-222222222
86434,37083,24433,29583,9249,36136,6490,37083,6853,34813,4879,35469,4467
86435,32750,14605,37083,14355,36875,16667,44750,10818,,,-666666666,-222222222
86436,35306,8134,27287,12180,33071,17551,34004,14829,28775,16449,23359,13927
86437,80606,50435,22500,26263,30833,22925,32188,32481,,,-666666666,-222222222
86438,27750,5944,27672,6970,29016,5774,31516,4157,35456,10491,30096,17008
86440,41274,6691,40960,6403,43021,4765,39167,6996,38333,7125,43187,4573
86441,27313,4436,25305,4412,25563,5709,24571,10462,23033,9777,25094,12360
86442,38472,2385,36398,2624,36661,2558,36395,2018,34505,2280,35052,2489
86443,,,,,,,,,,,-666666666,-222222222
86444,38558,14605,26884,10070,25032,8668,21458,7644,21484,9862,18776,10430
86445,22344,50201,22091,26001,32417,44675,50142,30134,48977,28608,38125,24483
86502,16359,5716,14297,7111,16029,6585,21000,5786,19750,7546,17321,6819
86503,28333,6705,31423,3469,30019,4463,30904,3903,29065,2116,27742,2401
86504,40360,6718,34210,3314,34349,3949,34854,4230,31291,3922,25718,4852
86505,25172,2382,24931,1997,23481,1276,23529,1970,22708,1611,22267,1572
86506,21184,4641,20833,5910,21190,3656,21944,3444,20109,5663,21635,4259
86507,17155,5991,20119,4253,22009,4761,22188,6706,25833,7063,29722,4007
86508,18750,8177,19732,5848,22768,6704,20682,5206,21477,3687,23594,4359
86510,21234,2199,21667,3050,21132,3480,21816,1984,19683,3183,20750,2956
86511,21615,4820,28500,9503,29909,5425,31563,3914,32468,3057,33563,3664
86512,32500,8004,24958,5658,25000,5723,23482,6972,24904,5088,25069,5226
86514,18478,2770,19469,3333,20089,5276,21205,3325,25000,3605,25057,2997
86515,32241,15864,35000,11314,35897,7986,34375,6749,35039,8269,33455,4004
86520,14517,2568,14583,2436,14583,2073,16250,2366,17074,2037,17195,1992
86535,17500,8247,20357,6950,22361,6147,22386,5811,20556,4604,20700,2912
86538,33571,8537,31938,11638,34000,9860,35750,10735,32969,7846,26897,7177
86540,15605,1885,16813,3414,18125,3709,19524,5083,14545,6615,11384,2213
86544,26607,9508,26000,6714,28250,5889,25682,5470,28056,5719,28542,4994
86545,24327,4012,26667,2807,26581,2453,26705,3464,26964,4065,30139,4164
86547,23500,10271,23688,3691,23889,4100,22647,3634,23409,3432,25147,3938
86556,20000,8026,24250,10716,27969,8088,19954,6685,28188,9019,29107,3538
