SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Power Ranch Elementary,public,4351 S Ranch House Pkwy,Gilbert,Maricopa,85297-,N/A,,86,94,3.5,-,94,3.5,-,93,3.5,-,95,2.3,-,94,2.3,-,3.49,0,N/A
Prescott Valley Charter School,charter,9500 Lorna Lane ,Prescott Valley,Yavapai,86314-,N/A,,49,86,14.3,-,84,16.3,-,61,38.8,-,82,18.4,-,88,12.2,-,36.73,0,N/A
Presidio De Las Sierras,charter,240 N Hwy 90 Bypass,Sierra Vista,Cochise,85635-,N/A,,22,100,0,-,100,0,-,100,0,-,100,0,-,100,0,-,0,0,N/A
Primary School,public,P.o Box #67,Tuba City ,Coconino,86045-,N/A,,74,100,0,-,100,0,-,51,0,-,100,0,-,100,0,-,0,0,N/A
Prince Elementary,public,125 E. Prince Rd Tucson Az 85705,Tucson,Pima,85705-,N/A,,108,94,0,-,93,0,-,100,0,-,95,0,-,100,0,-,2.78,0,N/A
Pueblo Del Sol ,public,3449 North 39th Ave,Phoenix,Maricopa,85019-,N/A,,92,95,5.4,-,96,4.3,-,93,6.5,-,99,1.1,-,99,1.1,-,1.09,0,N/A
Pueblo Del Sol Elementary,public,5130 Paseo Las Palmas,Sierra Vista ,Cochise,85635-,N/A,,96,96,4.2,-,96,4.2,-,94,6.3,-,96,4.2,-,100,0,-,6.25,0,N/A
Pueblo Elementary School,public,6320 N. 82nd St.,Scottsdale,Maricopa,85250-,N/A,,104,90,7.7,-,94,4.8,-,92,5.8,-,96,3.8,-,96,3.8,-,7.69,0,N/A
Pueblo Elementary School,public,2803 W 20th Street,Yuma,Yuma,85364-3600,N/A,,92,98,0,-,99,0,-,99,0,-,100,0,-,100,0,-,0,0,N/A
Pueblo Gardens,public,2210 E. 33rd Street,Tucson,Pima,85713-,N/A,,46,100,0,-,100,0,-,100,0,-,100,0,-,100,0,-,0,0,N/A
